[2026-02-25T00:00:00.000Z] [INFO] Access log initialized
[2026-02-25T13:01:05.756Z] GET / | Status: 304 | Duration: 24ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:27.319Z] GET /site/js/global.js | Status: 304 | Duration: 1ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:27.331Z] GET /notifications/unread-count | Status: 304 | Duration: 2ms | IP: ::1 | User: patient@medipoint.com
[2026-02-25T13:04:29.091Z] GET /patient | Status: 404 | Duration: 5ms | IP: ::1 | User: patient@medipoint.com
[2026-02-25T13:04:29.125Z] GET /vendor/fontawesome/css/all.min.css | Status: 304 | Duration: 1ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:29.128Z] GET /site/css/main.css | Status: 304 | Duration: 1ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:29.130Z] GET /site/css/portal.css | Status: 304 | Duration: 1ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:29.131Z] GET /site/media/logo.png | Status: 304 | Duration: 2ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:29.133Z] GET /site/media/world.png | Status: 304 | Duration: 1ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:29.137Z] GET /site/js/global.js | Status: 304 | Duration: 1ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:29.146Z] GET /notifications/unread-count | Status: 304 | Duration: 4ms | IP: ::1 | User: patient@medipoint.com
[2026-02-25T13:04:30.306Z] GET /patient/appointments | Status: 304 | Duration: 6ms | IP: ::1 | User: patient@medipoint.com
[2026-02-25T13:04:30.324Z] GET /vendor/fontawesome/css/all.min.css | Status: 304 | Duration: 0ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:30.325Z] GET /site/css/main.css | Status: 304 | Duration: 1ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:30.327Z] GET /site/css/portal.css | Status: 304 | Duration: 1ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:30.330Z] GET /site/media/logo.png | Status: 304 | Duration: 1ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:30.331Z] GET /site/media/world.png | Status: 304 | Duration: 1ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:30.336Z] GET /site/js/global.js | Status: 304 | Duration: 1ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:30.343Z] GET /notifications/unread-count | Status: 304 | Duration: 2ms | IP: ::1 | User: patient@medipoint.com
[2026-02-25T13:04:31.269Z] GET /patient/records | Status: 304 | Duration: 7ms | IP: ::1 | User: patient@medipoint.com
[2026-02-25T13:04:31.300Z] GET /vendor/fontawesome/css/all.min.css | Status: 304 | Duration: 1ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:31.302Z] GET /site/css/main.css | Status: 304 | Duration: 1ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:31.306Z] GET /site/css/portal.css | Status: 304 | Duration: 1ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:31.308Z] GET /site/media/logo.png | Status: 304 | Duration: 1ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:31.309Z] GET /site/media/world.png | Status: 304 | Duration: 2ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:31.314Z] GET /site/js/global.js | Status: 304 | Duration: 1ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:31.330Z] GET /notifications/unread-count | Status: 304 | Duration: 4ms | IP: ::1 | User: patient@medipoint.com
[2026-02-25T13:04:36.597Z] GET /vendor/fontawesome/css/all.min.css | Status: 304 | Duration: 1ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:36.598Z] GET /site/css/main.css | Status: 304 | Duration: 1ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:36.600Z] GET /site/css/portal.css | Status: 304 | Duration: 3ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:36.650Z] GET /.well-known/appspecific/com.chrome.devtools.json | Status: 404 | Duration: 4ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:41.214Z] GET /patient | Status: 404 | Duration: 4ms | IP: ::1 | User: patient@medipoint.com
[2026-02-25T13:04:41.251Z] GET /.well-known/appspecific/com.chrome.devtools.json | Status: 404 | Duration: 5ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:41.257Z] GET /site/css/main.css | Status: 200 | Duration: 5ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:41.260Z] GET /site/css/portal.css | Status: 200 | Duration: 5ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:41.263Z] GET /vendor/fontawesome/css/all.min.css | Status: 200 | Duration: 11ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:41.265Z] GET /site/media/world.png | Status: 200 | Duration: 9ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:41.271Z] GET /site/js/global.js | Status: 200 | Duration: 7ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:41.284Z] GET /site/media/logo.png | Status: 200 | Duration: 28ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:41.306Z] GET /vendor/fontawesome/webfonts/fa-brands-400.woff2 | Status: 200 | Duration: 7ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:41.307Z] GET /vendor/fontawesome/webfonts/fa-solid-900.woff2 | Status: 200 | Duration: 7ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:41.336Z] GET /notifications/unread-count | Status: 200 | Duration: 5ms | IP: ::1 | User: patient@medipoint.com
[2026-02-25T13:04:44.234Z] GET /patient/appointments | Status: 200 | Duration: 5ms | IP: ::1 | User: patient@medipoint.com
[2026-02-25T13:04:44.258Z] GET /.well-known/appspecific/com.chrome.devtools.json | Status: 404 | Duration: 4ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:44.266Z] GET /vendor/fontawesome/css/all.min.css | Status: 200 | Duration: 1ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:44.271Z] GET /site/css/main.css | Status: 200 | Duration: 2ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:44.274Z] GET /site/css/portal.css | Status: 200 | Duration: 5ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:44.277Z] GET /site/media/world.png | Status: 200 | Duration: 7ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:44.291Z] GET /site/js/global.js | Status: 200 | Duration: 11ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:44.304Z] GET /vendor/fontawesome/webfonts/fa-solid-900.woff2 | Status: 200 | Duration: 5ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:44.306Z] GET /vendor/fontawesome/webfonts/fa-brands-400.woff2 | Status: 200 | Duration: 7ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:44.309Z] GET /site/media/logo.png | Status: 200 | Duration: 40ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:44.364Z] GET /notifications/unread-count | Status: 200 | Duration: 3ms | IP: ::1 | User: patient@medipoint.com
[2026-02-25T13:04:45.315Z] GET /patient/upload?error=No%20file%20selected | Status: 200 | Duration: 6ms | IP: ::1 | User: patient@medipoint.com
[2026-02-25T13:04:45.336Z] GET /.well-known/appspecific/com.chrome.devtools.json | Status: 404 | Duration: 4ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:45.341Z] GET /vendor/fontawesome/css/all.min.css | Status: 200 | Duration: 2ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:45.348Z] GET /site/css/main.css | Status: 200 | Duration: 1ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:45.353Z] GET /site/css/portal.css | Status: 200 | Duration: 2ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:45.356Z] GET /site/media/world.png | Status: 200 | Duration: 4ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:45.360Z] GET /site/js/global.js | Status: 200 | Duration: 6ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:45.371Z] GET /site/media/logo.png | Status: 200 | Duration: 20ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:45.381Z] GET /vendor/fontawesome/webfonts/fa-solid-900.woff2 | Status: 200 | Duration: 2ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:45.382Z] GET /vendor/fontawesome/webfonts/fa-brands-400.woff2 | Status: 200 | Duration: 2ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:45.439Z] GET /notifications/unread-count | Status: 200 | Duration: 4ms | IP: ::1 | User: patient@medipoint.com
[2026-02-25T13:04:46.001Z] GET /patient/dashboard | Status: 200 | Duration: 4ms | IP: ::1 | User: patient@medipoint.com
[2026-02-25T13:04:46.027Z] GET /.well-known/appspecific/com.chrome.devtools.json | Status: 404 | Duration: 3ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:46.035Z] GET /vendor/fontawesome/css/all.min.css | Status: 200 | Duration: 3ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:46.043Z] GET /media/logo.png | Status: 200 | Duration: 10ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:46.061Z] GET /vendor/fontawesome/webfonts/fa-solid-900.woff2 | Status: 200 | Duration: 1ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:47.128Z] GET /.well-known/appspecific/com.chrome.devtools.json | Status: 404 | Duration: 2ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:47.151Z] GET /vendor/fontawesome/css/all.min.css | Status: 304 | Duration: 2ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:47.160Z] GET /.well-known/appspecific/com.chrome.devtools.json | Status: 404 | Duration: 3ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:50.920Z] GET /auth/login | Status: 302 | Duration: 1ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:50.931Z] GET /patient/dashboard | Status: 200 | Duration: 5ms | IP: ::1 | User: patient@medipoint.com
[2026-02-25T13:04:50.966Z] GET /.well-known/appspecific/com.chrome.devtools.json | Status: 404 | Duration: 5ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:50.973Z] GET /vendor/fontawesome/css/all.min.css | Status: 200 | Duration: 2ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:50.984Z] GET /media/logo.png | Status: 200 | Duration: 13ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:50.995Z] GET /vendor/fontawesome/webfonts/fa-solid-900.woff2 | Status: 200 | Duration: 1ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:52.890Z] GET /auth/logout | Status: 302 | Duration: 1ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:52.900Z] GET / | Status: 200 | Duration: 4ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:52.933Z] GET /.well-known/appspecific/com.chrome.devtools.json | Status: 404 | Duration: 3ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:52.943Z] GET /vendor/fontawesome/css/all.min.css | Status: 200 | Duration: 3ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:52.952Z] GET /media/world.png | Status: 200 | Duration: 3ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:52.956Z] GET /media/doctor-using-mobile-phone-contact-260nw-524089942.jpg | Status: 200 | Duration: 6ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:52.957Z] GET /media/electrocardiogram-monitor.png | Status: 200 | Duration: 6ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:52.959Z] GET /media/medical-appointment.png | Status: 200 | Duration: 6ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:52.964Z] GET /media/health-report.png | Status: 200 | Duration: 6ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:52.969Z] GET /media/doctor-patient.png | Status: 404 | Duration: 6ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:52.972Z] GET /media/logo.png | Status: 200 | Duration: 25ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:52.977Z] GET /media/whatsapp.png | Status: 200 | Duration: 6ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:52.983Z] GET /vendor/fontawesome/webfonts/fa-solid-900.woff2 | Status: 200 | Duration: 8ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:52.986Z] GET /vendor/fontawesome/webfonts/fa-brands-400.woff2 | Status: 200 | Duration: 7ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:53.883Z] GET /auth/login | Status: 200 | Duration: 3ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:53.917Z] GET /.well-known/appspecific/com.chrome.devtools.json | Status: 404 | Duration: 3ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:53.925Z] GET /vendor/fontawesome/css/all.min.css | Status: 200 | Duration: 3ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:53.938Z] GET /media/logo.png | Status: 200 | Duration: 14ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:53.947Z] GET /vendor/fontawesome/webfonts/fa-solid-900.woff2 | Status: 200 | Duration: 4ms | IP: ::1 | User: anonymous
[2026-02-25T13:04:53.950Z] GET /vendor/fontawesome/webfonts/fa-regular-400.woff2 | Status: 200 | Duration: 6ms | IP: ::1 | User: anonymous
[2026-02-25T13:05:07.592Z] POST /auth/login | Status: 302 | Duration: 77ms | IP: ::1 | User: anonymous
[2026-02-25T13:05:07.602Z] GET /patient/dashboard | Status: 200 | Duration: 5ms | IP: ::1 | User: patient@medipoint.com
[2026-02-25T13:05:07.627Z] GET /.well-known/appspecific/com.chrome.devtools.json | Status: 404 | Duration: 3ms | IP: ::1 | User: anonymous
[2026-02-25T13:05:07.636Z] GET /vendor/fontawesome/css/all.min.css | Status: 200 | Duration: 2ms | IP: ::1 | User: anonymous
[2026-02-25T13:05:07.645Z] GET /media/logo.png | Status: 200 | Duration: 10ms | IP: ::1 | User: anonymous
[2026-02-25T13:05:07.657Z] GET /vendor/fontawesome/webfonts/fa-solid-900.woff2 | Status: 200 | Duration: 3ms | IP: ::1 | User: anonymous
[2026-02-25T13:05:15.938Z] POST /patient/upload | Status: 302 | Duration: 2ms | IP: ::1 | User: patient@medipoint.com
[2026-02-25T13:05:15.950Z] GET /patient/upload?error=No%20file%20selected | Status: 200 | Duration: 7ms | IP: ::1 | User: patient@medipoint.com
[2026-02-25T13:05:15.984Z] GET /.well-known/appspecific/com.chrome.devtools.json | Status: 404 | Duration: 8ms | IP: ::1 | User: anonymous
[2026-02-25T13:05:15.989Z] GET /vendor/fontawesome/css/all.min.css | Status: 200 | Duration: 4ms | IP: ::1 | User: anonymous
[2026-02-25T13:05:15.993Z] GET /site/css/main.css | Status: 200 | Duration: 5ms | IP: ::1 | User: anonymous
[2026-02-25T13:05:15.995Z] GET /site/css/portal.css | Status: 200 | Duration: 5ms | IP: ::1 | User: anonymous
[2026-02-25T13:05:16.000Z] GET /site/media/world.png | Status: 200 | Duration: 3ms | IP: ::1 | User: anonymous
[2026-02-25T13:05:16.011Z] GET /site/media/logo.png | Status: 200 | Duration: 14ms | IP: ::1 | User: anonymous
[2026-02-25T13:05:16.016Z] GET /site/js/global.js | Status: 200 | Duration: 2ms | IP: ::1 | User: anonymous
[2026-02-25T13:05:16.055Z] GET /vendor/fontawesome/webfonts/fa-brands-400.woff2 | Status: 200 | Duration: 2ms | IP: ::1 | User: anonymous
[2026-02-25T13:05:16.058Z] GET /vendor/fontawesome/webfonts/fa-solid-900.woff2 | Status: 200 | Duration: 4ms | IP: ::1 | User: anonymous
[2026-02-25T13:05:16.122Z] GET /notifications/unread-count | Status: 200 | Duration: 4ms | IP: ::1 | User: patient@medipoint.com
[2026-02-25T13:05:26.692Z] GET /patient/dashboard | Status: 200 | Duration: 8ms | IP: ::1 | User: patient@medipoint.com
[2026-02-25T13:05:26.723Z] GET /.well-known/appspecific/com.chrome.devtools.json | Status: 404 | Duration: 7ms | IP: ::1 | User: anonymous
[2026-02-25T13:05:26.727Z] GET /vendor/fontawesome/css/all.min.css | Status: 200 | Duration: 3ms | IP: ::1 | User: anonymous
[2026-02-25T13:05:26.734Z] GET /media/logo.png | Status: 200 | Duration: 9ms | IP: ::1 | User: anonymous
[2026-02-25T13:05:26.747Z] GET /vendor/fontawesome/webfonts/fa-solid-900.woff2 | Status: 200 | Duration: 1ms | IP: ::1 | User: anonymous
[2026-02-25T13:07:21.879Z] GET /patient/dashboard | Status: 200 | Duration: 17ms | IP: ::1 | User: patient@medipoint.com
[2026-02-25T13:07:21.906Z] GET /.well-known/appspecific/com.chrome.devtools.json | Status: 404 | Duration: 8ms | IP: ::1 | User: anonymous
[2026-02-25T13:07:21.916Z] GET /vendor/fontawesome/css/all.min.css | Status: 200 | Duration: 7ms | IP: ::1 | User: anonymous
[2026-02-25T13:07:21.927Z] GET /media/logo.png | Status: 200 | Duration: 16ms | IP: ::1 | User: anonymous
[2026-02-25T13:07:21.936Z] GET /vendor/fontawesome/webfonts/fa-solid-900.woff2 | Status: 200 | Duration: 3ms | IP: ::1 | User: anonymous
[2026-02-25T13:07:21.991Z] GET /media/logo.png | Status: 200 | Duration: 8ms | IP: ::1 | User: anonymous
[2026-02-25T13:07:27.776Z] POST /patient/upload | Status: 302 | Duration: 20ms | IP: ::1 | User: patient@medipoint.com
[2026-02-25T13:07:27.824Z] GET /patient/upload?error=No%20file%20selected | Status: 200 | Duration: 33ms | IP: ::1 | User: patient@medipoint.com
[2026-02-25T13:07:27.853Z] GET /.well-known/appspecific/com.chrome.devtools.json | Status: 404 | Duration: 5ms | IP: ::1 | User: anonymous
[2026-02-25T13:07:27.862Z] GET /vendor/fontawesome/css/all.min.css | Status: 200 | Duration: 3ms | IP: ::1 | User: anonymous
[2026-02-25T13:07:27.870Z] GET /site/css/main.css | Status: 200 | Duration: 5ms | IP: ::1 | User: anonymous
[2026-02-25T13:07:27.871Z] GET /site/css/portal.css | Status: 200 | Duration: 4ms | IP: ::1 | User: anonymous
[2026-02-25T13:07:27.887Z] GET /site/media/world.png | Status: 200 | Duration: 7ms | IP: ::1 | User: anonymous
[2026-02-25T13:07:27.888Z] GET /site/js/global.js | Status: 200 | Duration: 8ms | IP: ::1 | User: anonymous
[2026-02-25T13:07:27.914Z] GET /vendor/fontawesome/webfonts/fa-solid-900.woff2 | Status: 200 | Duration: 9ms | IP: ::1 | User: anonymous
[2026-02-25T13:07:27.915Z] GET /vendor/fontawesome/webfonts/fa-brands-400.woff2 | Status: 200 | Duration: 10ms | IP: ::1 | User: anonymous
[2026-02-25T13:07:27.920Z] GET /site/media/logo.png | Status: 200 | Duration: 42ms | IP: ::1 | User: anonymous
[2026-02-25T13:07:27.964Z] GET /notifications/unread-count | Status: 200 | Duration: 6ms | IP: ::1 | User: patient@medipoint.com
[2026-02-25T13:07:30.591Z] GET /auth/logout | Status: 302 | Duration: 2ms | IP: ::1 | User: anonymous
[2026-02-25T13:07:30.603Z] GET / | Status: 200 | Duration: 6ms | IP: ::1 | User: anonymous
[2026-02-25T13:07:30.638Z] GET /.well-known/appspecific/com.chrome.devtools.json | Status: 404 | Duration: 6ms | IP: ::1 | User: anonymous
[2026-02-25T13:07:30.641Z] GET /vendor/fontawesome/css/all.min.css | Status: 200 | Duration: 2ms | IP: ::1 | User: anonymous
[2026-02-25T13:07:30.650Z] GET /media/world.png | Status: 200 | Duration: 3ms | IP: ::1 | User: anonymous
[2026-02-25T13:07:30.655Z] GET /media/doctor-using-mobile-phone-contact-260nw-524089942.jpg | Status: 200 | Duration: 4ms | IP: ::1 | User: anonymous
[2026-02-25T13:07:30.659Z] GET /media/electrocardiogram-monitor.png | Status: 200 | Duration: 6ms | IP: ::1 | User: anonymous
[2026-02-25T13:07:30.662Z] GET /media/medical-appointment.png | Status: 200 | Duration: 6ms | IP: ::1 | User: anonymous
[2026-02-25T13:07:30.668Z] GET /media/doctor-patient.png | Status: 404 | Duration: 7ms | IP: ::1 | User: anonymous
[2026-02-25T13:07:30.663Z] GET /media/health-report.png | Status: 200 | Duration: 6ms | IP: ::1 | User: anonymous
[2026-02-25T13:07:30.673Z] GET /media/whatsapp.png | Status: 200 | Duration: 4ms | IP: ::1 | User: anonymous
[2026-02-25T13:07:30.675Z] GET /vendor/fontawesome/webfonts/fa-solid-900.woff2 | Status: 200 | Duration: 6ms | IP: ::1 | User: anonymous
[2026-02-25T13:07:30.677Z] GET /vendor/fontawesome/webfonts/fa-brands-400.woff2 | Status: 200 | Duration: 7ms | IP: ::1 | User: anonymous
[2026-02-25T13:07:30.681Z] GET /media/logo.png | Status: 200 | Duration: 34ms | IP: ::1 | User: anonymous
[2026-02-25T13:08:26.099Z] GET /auth/login | Status: 200 | Duration: 6ms | IP: ::1 | User: anonymous
[2026-02-25T13:08:26.129Z] GET /.well-known/appspecific/com.chrome.devtools.json | Status: 404 | Duration: 7ms | IP: ::1 | User: anonymous
[2026-02-25T13:08:26.135Z] GET /vendor/fontawesome/css/all.min.css | Status: 200 | Duration: 4ms | IP: ::1 | User: anonymous
[2026-02-25T13:08:26.145Z] GET /media/logo.png | Status: 200 | Duration: 11ms | IP: ::1 | User: anonymous
[2026-02-25T13:08:26.153Z] GET /vendor/fontawesome/webfonts/fa-regular-400.woff2 | Status: 200 | Duration: 1ms | IP: ::1 | User: anonymous
[2026-02-25T13:08:26.155Z] GET /vendor/fontawesome/webfonts/fa-solid-900.woff2 | Status: 200 | Duration: 4ms | IP: ::1 | User: anonymous
[2026-02-25T13:09:12.361Z] POST /auth/login | Status: 302 | Duration: 79ms | IP: ::1 | User: anonymous
[2026-02-25T13:09:12.372Z] GET /patient/dashboard | Status: 200 | Duration: 6ms | IP: ::1 | User: patient@medipoint.com
